,User,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
463,3,0,ks1a2k1_1a,11,1793,3,0,424,-1
464,3,0,ks1a2,74,1804,4,0,1216,-1
465,3,0,ks1a4,52,1878,4,0,1268,-1
466,3,0,ks1a4b1_1a,8,1930,5,0,1276,-1
467,3,0,ks1a4,8,1938,4,0,1284,-1
468,3,0,ks1a5,50,1946,4,0,1334,-1
469,3,0,ks1a,4,1996,6,0,1338,-1
470,3,0,Übersicht,27,2000,6,0,1365,-1
471,3,1,ks2a,2,2027,6,0,1367,-1
472,3,1,ks2a1,159,2029,4,0,1526,-1
473,3,1,ks2a1b2_1a,27,2188,5,0,1553,-1
474,3,1,ks2a1,7,2215,4,0,1560,-1
475,3,1,ks2a1b3_1a,2,2222,5,0,1562,-1
476,3,1,ks2a1,77,2224,4,0,1639,-1
477,3,1,ks2a2,16,2301,4,0,1655,-1
478,3,1,ks2a1,15,2317,4,0,1670,-1
479,3,1,ks2a1b4_1a,140,2332,5,0,1810,-1
480,3,1,ks2a2b1_1a,37,2472,5,0,1847,-1
481,3,1,ks2a2,12,2509,4,0,1859,-1
482,3,1,ks2a2,16,2521,4,0,1875,-1
483,3,1,ks2a2b1_1a,8,2537,5,0,1883,-1
484,3,1,ks2a2,18,2545,4,0,1901,-1
485,3,1,ks2a2b2_1a,18,2563,5,0,1919,-1
486,3,1,ks2a2b3_1a,19,2581,5,0,1938,-1
487,3,1,ks2a2,28,2600,4,0,1966,-1
488,3,1,ks2a2b4_1a,42,2628,5,0,2008,-1
489,3,1,ks2a2,2,2670,4,0,2010,-1
490,3,1,ks2a3,30,2672,4,0,2040,-1
